File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000XBE	fastq	reads	ENCSR000DNV	ChIP-seq	EFO:0002791	HeLa-S3	immortalized cell line	adult	female	31 year	Homo sapiens					BRF2-human	ENCAB000AEN	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	34		single-ended				695718316	Kevin Struhl, HMS	fb1082a7d095f8976f0d75f952373489		https://www.encodeproject.org/files/ENCFF000XBE/@@download/ENCFF000XBE.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XGP/	released	inconsistent platforms, inconsistent control read length	biological replicates with identical biosample	insufficient read length	
ENCFF001GZI	fastq	reads	ENCSR000DQD	ChIP-seq	EFO:0005725	BE2C	immortalized cell line	child	male	2 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				1	1	36		single-ended				1048304557	John Stamatoyannopoulos, UW	7c5e34e9e27a2858b46d40b3ec5f8911		https://www.encodeproject.org/files/ENCFF001GZI/@@download/ENCFF001GZI.fastq.gz		Illumina Genome Analyzer	/files/ENCFF001GZT/	released	low read depth, mild to moderate bottlenecking, low read length			
ENCFF001GZJ	fastq	reads	ENCSR000DQD	ChIP-seq	EFO:0005725	BE2C	immortalized cell line	child	male	2 year	Homo sapiens					CTCF-human	ENCAB000AFP	DNA		see document	see document		False	2012-01-17	ENCODE				2	1	36		single-ended				987055420	John Stamatoyannopoulos, UW	11ce1b3958f773c33f428753c28cfc32		https://www.encodeproject.org/files/ENCFF001GZJ/@@download/ENCFF001GZJ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF001GZT/	released	low read depth, mild to moderate bottlenecking, low read length			
ENCFF000SAO	fastq	reads	ENCSR000DML	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		False	2012-08-27	ENCODE				1	1	36		single-ended				1207955053	Vishwanath Iyer, UTA	5857428be9cf64b70d288afd06dcb89c		https://www.encodeproject.org/files/ENCFF000SAO/@@download/ENCFF000SAO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000SAZ/	released	moderate library complexity, mild to moderate bottlenecking, low read length	biological replicates with identical biosample, missing unfiltered alignments		
ENCFF000SAP	fastq	reads	ENCSR000DML	ChIP-seq	EFO:0001203	MCF-7	immortalized cell line	adult	female	69 year	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		False	2012-08-27	ENCODE				2	1	36		single-ended				1275191385	Vishwanath Iyer, UTA	a1b059d72b2b30191ee1028c8d3abbda		https://www.encodeproject.org/files/ENCFF000SAP/@@download/ENCFF000SAP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000SAZ/	released	moderate library complexity, mild to moderate bottlenecking, low read length	biological replicates with identical biosample, missing unfiltered alignments		
ENCFF451LIG	fastq	reads	ENCSR089DTY	ChIP-seq	UBERON:0010414	omental fat pad	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2017-06-23	ENCODE				1	1	100		paired-ended	2	ENCFF851YSO		2181220192	Michael Snyder, Stanford	63286c3d50222b6f08603e922d9e396b		https://www.encodeproject.org/files/ENCFF451LIG/@@download/ENCFF451LIG.fastq.gz		HiSeq 4000	/files/ENCFF449AND/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF851YSO	fastq	reads	ENCSR089DTY	ChIP-seq	UBERON:0010414	omental fat pad	tissue	adult	male	37 year	Homo sapiens					CTCF-human	ENCAB830JLB	DNA					False	2017-06-23	ENCODE				1	1	100		paired-ended	1	ENCFF451LIG		2139451127	Michael Snyder, Stanford	004636d11536ef16dd19d9e38ac4ec94		https://www.encodeproject.org/files/ENCFF851YSO/@@download/ENCFF851YSO.fastq.gz		HiSeq 4000	/files/ENCFF133DKP/	released	moderate library complexity, mild to moderate bottlenecking, antibody characterized with exemption	experiment not submitted to GEO		
ENCFF000YAA	fastq	reads	ENCSR000EVU	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	newborn	unknown	unknown	Homo sapiens					FOS-human	ENCAB000AEQ	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				595640631	Peggy Farnham, USC	792590d95c4469ef63c5eeba78b4c4c6		https://www.encodeproject.org/files/ENCFF000YAA/@@download/ENCFF000YAA.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YBC/	released	moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample, NTR biosample	insufficient read depth	
ENCFF000YAE	fastq	reads	ENCSR000EVU	ChIP-seq	CL:0002618	endothelial cell of umbilical vein	primary cell	newborn	unknown	unknown	Homo sapiens					FOS-human	ENCAB000AEQ	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				1651582093	Peggy Farnham, USC	48c2a17c2cefd04a1e7172471cf0292c		https://www.encodeproject.org/files/ENCFF000YAE/@@download/ENCFF000YAE.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000YBC/	released	moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance, low read length	biological replicates with identical biosample, NTR biosample	insufficient read depth	
ENCFF303QKQ	fastq	reads	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	newborn	male	2-4 day	Homo sapiens					CTCF-human	ENCAB830JLB	DNA				formaldehyde	False	2017-10-10	GGR				2	1	101		paired-ended	1	ENCFF239KLD		2771036540	Michael Snyder, Stanford	12fbb84c0514ac03adbe68007ab5614d		https://www.encodeproject.org/files/ENCFF303QKQ/@@download/ENCFF303QKQ.fastq.gz		HiSeq 4000	/files/ENCFF314CVE/	released		experiment not submitted to GEO		
ENCFF912XOK	fastq	reads	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	newborn	male	2-4 day	Homo sapiens					CTCF-human	ENCAB830JLB	DNA				formaldehyde	False	2017-10-10	GGR				1	1	101		paired-ended	1	ENCFF933JZR		2293439933	Michael Snyder, Stanford	bd6e5595d50a67b926eb8623b56454e8		https://www.encodeproject.org/files/ENCFF912XOK/@@download/ENCFF912XOK.fastq.gz		HiSeq 4000	/files/ENCFF144AGB/	released		experiment not submitted to GEO		
ENCFF933JZR	fastq	reads	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	newborn	male	2-4 day	Homo sapiens					CTCF-human	ENCAB830JLB	DNA				formaldehyde	False	2017-10-10	GGR				1	1	101		paired-ended	2	ENCFF912XOK		2327752418	Michael Snyder, Stanford	8aed30c6d34aad1b276427b372d5e884		https://www.encodeproject.org/files/ENCFF933JZR/@@download/ENCFF933JZR.fastq.gz		HiSeq 4000	/files/ENCFF699DOM/	released		experiment not submitted to GEO		
ENCFF239KLD	fastq	reads	ENCSR817HTJ	ChIP-seq	CL:1001606	foreskin keratinocyte	primary cell	newborn	male	2-4 day	Homo sapiens					CTCF-human	ENCAB830JLB	DNA				formaldehyde	False	2017-10-10	GGR				2	1	101		paired-ended	2	ENCFF303QKQ		2900985285	Michael Snyder, Stanford	ce6a716e06848f7c397dd40a1aa43660		https://www.encodeproject.org/files/ENCFF239KLD/@@download/ENCFF239KLD.fastq.gz		HiSeq 4000	/files/ENCFF066XSO/	released		experiment not submitted to GEO		
ENCFF876PMY	fastq	reads	ENCSR440COG	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF239-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				1	1	101		paired-ended	1	ENCFF912QAD		2003380842	Michael Snyder, Stanford	3da784bd20778498a98916491f202ab1	SRA:SRR5111615	https://www.encodeproject.org/files/ENCFF876PMY/@@download/ENCFF876PMY.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released				
ENCFF586BYR	fastq	reads	ENCSR440COG	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF239-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				2	1	101		paired-ended	1	ENCFF352PQY		2375833326	Michael Snyder, Stanford	7cbf24cedd0ffad012a43ff0db1571ec	SRA:SRR5111614	https://www.encodeproject.org/files/ENCFF586BYR/@@download/ENCFF586BYR.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released				
ENCFF912QAD	fastq	reads	ENCSR440COG	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF239-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				1	1	101		paired-ended	2	ENCFF876PMY		2055650009	Michael Snyder, Stanford	0656995a96e9fda98a7f2fd165c6b734	SRA:SRR5111615	https://www.encodeproject.org/files/ENCFF912QAD/@@download/ENCFF912QAD.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released				
ENCFF352PQY	fastq	reads	ENCSR440COG	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF239-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				2	1	101		paired-ended	2	ENCFF586BYR		2443600877	Michael Snyder, Stanford	45e9735aae212ab0fcdad0140b1383d6	SRA:SRR5111614	https://www.encodeproject.org/files/ENCFF352PQY/@@download/ENCFF352PQY.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released				
ENCFF000XPZ	fastq	reads	ENCSR000EDO	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					CEBPZ-human	ENCAB000ADO	DNA		see document	see document		False	2012-05-14	ENCODE				1	1	36		single-ended				1075222729	Michael Snyder, Stanford	bdebc0d7726833e563d213c015fba5ca		https://www.encodeproject.org/files/ENCFF000XPZ/@@download/ENCFF000XPZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XTF/	released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF000XQB	fastq	reads	ENCSR000EDO	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					CEBPZ-human	ENCAB000ADO	DNA		see document	see document		False	2012-05-14	ENCODE				2	1	36		single-ended				1298848774	Michael Snyder, Stanford	c846f8bf5b8dac3f62e321f4ae3507ae		https://www.encodeproject.org/files/ENCFF000XQB/@@download/ENCFF000XQB.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000XTF/	released	inconsistent target of control experiment, low read length	biological replicates with identical biosample		
ENCFF407HGX	fastq	reads	ENCSR872EVQ	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					PCBP1-human	ENCAB000BFX	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE				1	1	40		single-ended				636402026	Xiang-Dong Fu, UCSD	5d83a1a80fab124d95ac02c274d446e3		https://www.encodeproject.org/files/ENCFF407HGX/@@download/ENCFF407HGX.fastq.gz		HiSeq 2500	/files/ENCFF101DEV/	released	low read depth, mild to moderate bottlenecking, low read length	experiment not submitted to GEO		
ENCFF192STJ	fastq	reads	ENCSR872EVQ	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	15 year	Homo sapiens					PCBP1-human	ENCAB000BFX	DNA			SDS	formaldehyde	False	2017-02-27	ENCODE				2	1	40		single-ended				612183490	Xiang-Dong Fu, UCSD	d5b6321dff046b40882aeb374ae3ab09		https://www.encodeproject.org/files/ENCFF192STJ/@@download/ENCFF192STJ.fastq.gz		HiSeq 2500	/files/ENCFF426URQ/	released	low read depth, mild to moderate bottlenecking, low read length	experiment not submitted to GEO		
ENCFF251PNI	fastq	reads	ENCSR328SUD	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF335-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				1	1	101		paired-ended	1	ENCFF860EDN		2255029931	Michael Snyder, Stanford	625361fd1187469f1cf054e6a3849662	SRA:SRR5111428	https://www.encodeproject.org/files/ENCFF251PNI/@@download/ENCFF251PNI.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released				
ENCFF898JXS	fastq	reads	ENCSR328SUD	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF335-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				2	1	101		paired-ended	1	ENCFF040FWR		2183576406	Michael Snyder, Stanford	48d5cdef7c9036895f730428ba768b01	SRA:SRR5111427	https://www.encodeproject.org/files/ENCFF898JXS/@@download/ENCFF898JXS.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released				
ENCFF040FWR	fastq	reads	ENCSR328SUD	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF335-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				2	1	101		paired-ended	2	ENCFF898JXS		2210513665	Michael Snyder, Stanford	f5d3897356a88e556f1119f8c2e7a833	SRA:SRR5111427	https://www.encodeproject.org/files/ENCFF040FWR/@@download/ENCFF040FWR.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released				
ENCFF860EDN	fastq	reads	ENCSR328SUD	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-ZNF335-human	ENCAB976SGG	DNA				formaldehyde	False	2016-10-07	ENCODE				1	1	101		paired-ended	2	ENCFF251PNI		2287387073	Michael Snyder, Stanford	793c459159201483e29df0b926edd99a	SRA:SRR5111428	https://www.encodeproject.org/files/ENCFF860EDN/@@download/ENCFF860EDN.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released				
ENCFF877OHU	fastq	reads	ENCSR397DQC	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-KLF16-human	ENCAB976SGG	DNA				formaldehyde	False	2017-04-05	ENCODE				2	1	101		paired-ended	1	ENCFF408NSX		3016635221	Michael Snyder, Stanford	89a25826f5711fc8a73ae73636b19f16		https://www.encodeproject.org/files/ENCFF877OHU/@@download/ENCFF877OHU.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF509PJP	fastq	reads	ENCSR397DQC	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-KLF16-human	ENCAB976SGG	DNA				formaldehyde	False	2017-04-05	ENCODE				1	1	101		paired-ended	1	ENCFF454MNE		3182298593	Michael Snyder, Stanford	514ee62eaa4a302118bee6a07ae83ea9		https://www.encodeproject.org/files/ENCFF509PJP/@@download/ENCFF509PJP.fastq.gz		HiSeq 2000	/files/ENCFF050IAV/, /files/ENCFF055BVM/, /files/ENCFF069TUA/, /files/ENCFF153HYB/, /files/ENCFF259QKU/, /files/ENCFF342YBR/, /files/ENCFF354EZU/, /files/ENCFF370DYU/, /files/ENCFF427XVX/, /files/ENCFF458QHC/, /files/ENCFF534SCD/, /files/ENCFF547QSE/, /files/ENCFF612YLD/, /files/ENCFF642NHF/, /files/ENCFF643OCI/, /files/ENCFF643PJM/, /files/ENCFF660NKL/, /files/ENCFF668LQF/, /files/ENCFF696OLX/, /files/ENCFF769KWF/, /files/ENCFF794JUL/, /files/ENCFF873ZZU/, /files/ENCFF878ZVK/, /files/ENCFF881MQW/	released		experiment not submitted to GEO		
ENCFF408NSX	fastq	reads	ENCSR397DQC	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-KLF16-human	ENCAB976SGG	DNA				formaldehyde	False	2017-04-05	ENCODE				2	1	101		paired-ended	2	ENCFF877OHU		3079544772	Michael Snyder, Stanford	9037ac0ff73af9a4c9808018f7cf1f87		https://www.encodeproject.org/files/ENCFF408NSX/@@download/ENCFF408NSX.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF454MNE	fastq	reads	ENCSR397DQC	ChIP-seq	EFO:0001182	HEK293	immortalized cell line	embryonic	female	unknown	Homo sapiens					eGFP-KLF16-human	ENCAB976SGG	DNA				formaldehyde	False	2017-04-05	ENCODE				1	1	101		paired-ended	2	ENCFF509PJP		3246844371	Michael Snyder, Stanford	3ff3fc05567687c3b0f99a782854e66b		https://www.encodeproject.org/files/ENCFF454MNE/@@download/ENCFF454MNE.fastq.gz		HiSeq 2000	/files/ENCFF010LOC/, /files/ENCFF089HUB/, /files/ENCFF169WOT/, /files/ENCFF184SBV/, /files/ENCFF212MYS/, /files/ENCFF231MWC/, /files/ENCFF247VVB/, /files/ENCFF256KTI/, /files/ENCFF327UHP/, /files/ENCFF374JTH/, /files/ENCFF437BSD/, /files/ENCFF446ZHN/, /files/ENCFF485UTC/, /files/ENCFF502LCH/, /files/ENCFF570XLQ/, /files/ENCFF611URR/, /files/ENCFF674OUR/, /files/ENCFF696JSC/, /files/ENCFF793FGU/, /files/ENCFF804THN/, /files/ENCFF806BJB/, /files/ENCFF825GYY/, /files/ENCFF886JJC/, /files/ENCFF967IDB/	released		experiment not submitted to GEO		
ENCFF608VRV	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				1	1	100		paired-ended	1	ENCFF679KEU		919993225	Michael Snyder, Stanford	919ce889178b2194c0ec242478496c0d		https://www.encodeproject.org/files/ENCFF608VRV/@@download/ENCFF608VRV.fastq.gz		HiSeq 2000	/files/ENCFF002EFT/	archived	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF520VGY	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				2	1	100		paired-ended	1	ENCFF655NYA		1018293764	Michael Snyder, Stanford	ae2cd8232e4b8bc50707b3c492eed2fe		https://www.encodeproject.org/files/ENCFF520VGY/@@download/ENCFF520VGY.fastq.gz		HiSeq 2000	/files/ENCFF002EFU/	archived	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF679KEU	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				1	1	100		paired-ended	2	ENCFF608VRV		950067173	Michael Snyder, Stanford	aeb512cfe94cdf8cc75bdb182e087086		https://www.encodeproject.org/files/ENCFF679KEU/@@download/ENCFF679KEU.fastq.gz		HiSeq 2000	/files/ENCFF002EFQ/	archived	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF655NYA	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				2	1	100		paired-ended	2	ENCFF520VGY		1046542897	Michael Snyder, Stanford	9e142c2377422e0c79ae17547335964e		https://www.encodeproject.org/files/ENCFF655NYA/@@download/ENCFF655NYA.fastq.gz		HiSeq 2000	/files/ENCFF002EFS/	archived	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF066RUQ	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				1	1	100		paired-ended	1	ENCFF964VCI		3275391801	Michael Snyder, Stanford	b4f26ce62c7b8bd62012b1470c825434		https://www.encodeproject.org/files/ENCFF066RUQ/@@download/ENCFF066RUQ.fastq.gz		HiSeq 4000	/files/ENCFF202OMW/	released	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF964VCI	fastq	reads	ENCSR212YKD	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SKIL-human	ENCAB000BNW	DNA					False	2017-07-24	ENCODE				1	1	100		paired-ended	2	ENCFF066RUQ		3720049244	Michael Snyder, Stanford	8ef7103ea3cc92884404954e24b68196		https://www.encodeproject.org/files/ENCFF964VCI/@@download/ENCFF964VCI.fastq.gz		HiSeq 4000	/files/ENCFF349FFX/	released	low read depth, mild to moderate bottlenecking, inconsistent platforms	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
